date,product_id,product_name,location,demand,inventory,cost,lead_time
2023-12-25,RAM-100,Memory Module,Marrakesh,30,76,102.9,5
2025-02-10,NC-100,Network Card,Oujda,3,0,41.65,10
2025-07-03,CPU-100,Processor,Fes,33,30,258.82,10
2024-04-08,MS-100,Mouse,Casablanca,21,11,20.33,3
2024-09-02,CPU-100,Processor,Oujda,17,22,239.46,10
2025-03-26,NC-100,Network Card,Marrakesh,6,51,41.48,3
2024-05-14,PRT-100,Printer,Fes,17,29,149.11,3
2025-03-23,MS-100,Mouse,Agadir,52,96,20.49,14
2023-08-14,NC-100,Network Card,Fes,3,48,39.92,14
2025-07-05,RAM-100,Memory Module,Fes,37,47,98.11,7
2024-03-20,GPU-200,Graphics Card,Marrakesh,20,25,506.55,5
2024-04-21,RAM-100,Memory Module,Marrakesh,37,18,103.07,7
2025-02-16,PHN-200,Smartphone,Agadir,52,67,575.15,5
2025-02-17,CPU-100,Processor,Fes,11,12,249.31,3
2025-01-28,MS-100,Mouse,Rabat,27,13,19.34,3
2024-12-27,MON-100,Monitor,Agadir,29,37,207.17,10
2024-08-02,LAP-200,Laptop,Oujda,35,69,814.66,3
2023-07-30,MS-100,Mouse,Rabat,31,45,19.03,10
2024-03-29,CPU-100,Processor,Oujda,19,18,238.15,14
2025-01-23,LAP-100,Laptop,Oujda,54,55,762.43,14
2025-07-10,RAM-100,Memory Module,Fes,53,42,95.32,7
2024-12-11,MON-100,Monitor,Marrakesh,36,72,205.13,3
2024-07-05,CPU-100,Processor,Meknes,12,40,243.0,5
2024-08-24,SSD-100,SSD,Tanger,71,93,116.48,10
2023-08-16,PHN-100,Smartphone,Rabat,66,95,578.07,7
2024-12-16,MB-200,Motherboard,Oujda,5,23,147.27,14
2024-10-18,SSD-100,SSD,Meknes,30,70,121.51,5
2024-02-01,LAP-200,Laptop,Tanger,64,90,824.11,10
2024-12-25,PHN-200,Smartphone,Tanger,81,93,580.97,7
2023-09-22,KB-100,Keyboard,Casablanca,21,11,30.03,5
2023-11-23,PSU-100,Power Supply,Fes,10,34,69.57,7
2024-04-23,RAM-100,Memory Module,Oujda,18,3,99.77,14
2024-08-30,KB-100,Keyboard,Agadir,40,81,29.93,5
2024-09-23,MB-200,Motherboard,Casablanca,9,0,148.98,10
2024-03-22,LAP-300,Laptop,Marrakesh,82,102,774.71,14
2025-07-17,HDD-200,Hard Drive,Oujda,35,31,76.82,14
2025-04-02,PHN-100,Smartphone,Tanger,61,58,575.17,5
2025-02-21,MB-100,Motherboard,Casablanca,10,41,147.19,7
2025-06-21,TAB-200,Tablet,Oujda,2,0,307.54,10
2024-04-26,PRT-200,Printer,Rabat,23,13,155.72,7
2025-02-01,MS-200,Mouse,Tanger,20,54,19.79,14
2023-10-01,LAP-100,Laptop,Oujda,51,40,778.57,10
2024-01-01,NC-100,Network Card,Rabat,6,43,38.17,3
2023-11-25,PHN-100,Smartphone,Meknes,89,92,578.43,7
2024-08-08,PSU-100,Power Supply,Agadir,14,20,66.73,5
2024-07-30,NC-100,Network Card,Marrakesh,9,25,41.12,10
2023-12-12,NC-100,Network Card,Marrakesh,9,42,38.06,5
2025-04-17,NC-100,Network Card,Meknes,10,34,40.63,7
2024-06-26,TAB-100,Tablet,Marrakesh,13,18,290.71,14
2024-07-04,SSD-100,SSD,Rabat,31,59,114.13,5
2024-08-13,HDD-200,Hard Drive,Oujda,38,49,77.69,5
2024-04-24,MS-200,Mouse,Fes,31,41,19.73,5
